paper_id,title,UMAP1,UMAP2,Publication_Year,Cited_by_count,DOI,event,journal,Author
W2106391842,STRING: a database of predicted functional associations between proteins,10.369309,5.7255645,2003,2987,https://doi.org/10.1093/nar/gkg034,STRING データベース,Nucleic Acids Research,Christian von Mering
W2169409681,Isolation of an autotrophic ammonia-oxidizing marine archaeon,-0.2224593,5.4940934,2005,2845,https://doi.org/10.1038/nature03911,Nitrosopumilus maritimus アンモニア酸化古細菌の初の分離例,Nature,Martin K_nneke; Anne E. Bernhard; Jos_ R. de la Torre; C. B. Walker; John Waterbury; David A. Stahl
W2013404388,Separation of yeast chromosome-sized DNAs by pulsed field gradient gel electrophoresis,6.1417127,0.3517406,1984,2835,https://doi.org/10.1016/0092-8674(84)90301-5,パルスフィールド勾配ゲル電気泳動（PFGE）法の開発,Cell,David C. Schwartz; Charles R. Cantor
W2094591409,Archaea in coastal marine environments.,1.7411195,8.386772,1992,2731,https://doi.org/10.1073/pnas.89.12.5685,アーキアは高熱環境だけでなく海洋にも優占する,Proceedings of the National Academy of Sciences,Edward F. DeLong
W2766358903,A communal catalogue reveals Earth's multiscale microbial diversity,4.1134043,6.995064,2010,2730,https://doi.org/10.1038/nature24621,Earth Microbiome Project 開始,Nature,Luke Thompson; Jon G. Sanders; Daniel McDonald; Amnon Amir; Joshua Ladau; Kenneth J. Locey; Robert J. Prill; Anupriya Tripathi; Sean M. Gibbons; Gail Ackermann; Jos_ A. Navas-Molina; Stefan Janssen; Evguenia Kopylova; Yoshiki V_zquez‐Baeza; Antonio Gonz_lez; James T. Morton; Siavash Mirarab; Zhenjiang Zech Xu; Lingjing Jiang; Mohamed Fauzi Haroon; Jad Kanbar; Qiyun Zhu; Se Jin Song; Tomasz Ko_ci__ek; Nicholas A. Bokulich; Joshua Lefler; Colin Brislawn; Gregory Humphrey; Sarah M. Owens; Jarrad Hampton‐Marcell; Donna Berg-Lyons; Valerie J. McKenzie; Noah Fierer; Jed A. Fuhrman; Aaron Clauset; Rick Stevens; Ashley Shade; Katherine S. Pollard; Kelly D. Goodwin; Janet Jansson; Jack A. Gilbert; Rob Knight; Jose L. Agosto Rivera; Lisa Al-Moosawi; John C. Alverdy; Katherine R. Amato; Jason Andras; Largus T. Angenent; Dionysios A. Antonopoulos; Amy Apprill; David Armitage; Kate A. Ballantine; Ji__ B_rta; Julia K. Baum; Allison Berry; Ashish Bhatnagar; Monica Bhatnagar; Jennifer F. Biddle; Lucie Bittner; Bazartseren Boldgiv; Eric Bottos; Donal M. Boyer; Jonathan Braun; William J. Brazelton; Francis Q. Brearley; Alexandra H. Campbell; J. Gregory Caporaso; C_sar Cardona; JoLynn Carroll; S. Craig Cary; Brenda B. Casper; Trevor C. Charles; Haiyan Chu; Danielle C. Claar; Robert G. Clark; Jonathan B. Clayton; Jos_ C. Clemente; Alyssa T. Cochran; Maureen L. Coleman; Gavin Collins; Rita R. Colwell; M_nica Contreras; Benjamin B. Crary; Simon Creer; Daniel A. Cristol; Byron C. Crump; Duoying Cui; Sarah E. Daly; Liliana M. D_valos; Russell D. Dawson; Jennifer R. DeFazio; Fr_d_ric Delsuc; Hebe M. Dionisi; Maria Gloria Dom_nguez-Bello; Robin D. Dowell; Eric A. Dubinsky; Peter O. Dunn; Danilo Ercolini; Robert E. Espinoza; Vanessa O. Ezenwa; Nathalie Fenner; Helen S. Findlay; Irma D Fleming; Vincenzo Fogliano; Anna Forsman; Chris Freeman; Elliot S. Friedman; Giancarlo Galindo; Liza Garc_a; Mar_a Alexandra Garc_a-Amado; David L. Garshelis; Robin B. Gasser; Gunnar Gerdts; Molly K. Gibson; Isaac Gifford; Ryan T. Gill; Tu_rul Giray; Antje Gittel; Peter N. Golyshin; Donglai Gong; Hans‐Peter Grossart; Kristina Guyton; Sarah_Jane Haig; Vanessa L. Hale; Ross S. Hall; Steven Hallam; Kim M. Handley; Nur A. Hasan; Shane R. Haydon; Jonathan E. Hickman; Glida Hidalgo; Kirsten Hofmockel; Jeff Hooker; Stefan Hulth; Jenni Hultman; Embriette R. Hyde; Juan Diego Ib__ez‐_lamo; Julie Jastrow; Aaron R. Jex; L. Scott Johnson; Eric R. Johnston; Stephen Joseph; Stephanie D. Jurburg; Diogo Jurelevicius; Anders Karlsson; Roger Karlsson; Seth N. Kauppinen; Colleen T. E. Kellogg; Suzanne Kennedy; Lee J. Kerkhof; Gary M. King; George W. Kling; Anson V. Koehler; Monika A. Krezalek; Jordan G. Kueneman; Regina Lamendella; Emily Landon; K. E. Lane-deGraaf; Julie LaRoche; Peter A. Larsen; Bonnie Laverock; Simon Lax; Miguel Lentino; Iris I. Levin; Pierre Liancourt; Wenju Liang; Alexandra M. Linz; David A. Lipson; Yongqin Liu; Manuel E. Lladser; Mariana Lozada; Catherine M. Spirito; Walter P. Mac Cormack; Aurora MacRae-Crerar; Magda Magris; Antonio M. Mart_n‐Platero; Manuel Mart_n‐Vivaldi; L. Margarita Mart_nez; Manuel Mart_nez‐Bueno; Ezequiel M. Marzinelli; Olivia U. Mason; Gregory D. Mayer; Jamie M. McDevitt‐Irwin; James E. McDonald; Krista L. McGuire; Katherine D. McMahon; Ryan McMinds; M_nica Medina; Joseph R. Mendelson; Jessica L. Metcalf; Folker Meyer; Fabi_n A. Michelangeli; Kimberley E. Miller; David A. Mills; Jeremiah J. Minich; St_fano Mocali; Lucas Moitinho‐Silva; A. W. Moore; Rachael M. Morgan‐Kiss; Paul Munroe; David D. Myrold; Josh D. Neufeld; Yingying Ni; Graeme W. Nicol; Shaun Nielsen; Jozef I. Nissimov; Kefeng Niu; Matthew J. Nolan; Karen V. Noyce; S. L. O'Brien; Noriko Okamoto; Ludovic Orlando; Yadira Ortiz Castellano; Olayinka Osuolale; Wyatt Oswald; Jacob Parnell; Juan Manuel Peralta‐S_nchez; Peter S. Petraitis; Catherine A. Pfister; Elizabeth A. H. Pilon‐Smits; Paola Piombino; Stephen B. Pointing; F. Joseph Pollock; Caitlin Potter; Bharath Prithiviraj; Christopher Quince; Asha Rani; Ravi Ranjan; Subramanya Rao; Andrew P. Rees; Miles Richardson; Ulf Riebesell; Carol Robinson; Karl J. Rockne; Selena Marie Rodriguezl; Forest Rohwer; Wayne Roundstone; Rebecca J. Safran; Naseer Sangwan; Virginia Sanz; Matthew O. Schrenk; Mark D. Schrenzel; Nicole M. Scott; Rita L. Seger; Andaine Seguin‐Orlando; Lucy Seldin; Lauren Seyler; Baddr A. Shakhsheer; Gabriela M. Sheets; Congcong Shen; Yu Shi; Hakdong Shin; Benjamin D. Shogan; Dave Shutler; Jeffrey A. Siegel; Steve Simmons; Sara Sj_ling; Daniel P. Smith; Juan Jos_ Soler; Martin Sperling; Peter D. Steinberg; Brent Stephens; Melita Stevens; Safiyh Taghavi; Vera Tai; Karen Tait; Chia L. Tan; Neslihan Ta_; D. Lee Taylor; Torsten Thomas; Ina Timling; Benjamin L. Turner; Tim Urich; Luke K. Ursell; Dani_l van der Lelie; William Van Treuren; Lukas Van Zwieten; Daniela Vargas-Robles; Rebecca Vega Thurber; Paola Vitaglione; Donald A. Walker; William A. Walters; Wang Shi; Tao Wang; Tom Weaver; Nicole S. Webster; Beck A. Wehrle; Pamela Weisenhorn; Sophie Weiss; Jeffrey J. Werner; Kristin West; Andrew Whitehead; Susan R. Whitehead; Linda A. Whittingham; Eske Willerslev; Allison E. Williams; Stephen A. Wood; Douglas C. Woodhams; Yeqin Yang; Jesse Zaneveld; Iratxe Zarraonaindia; Qikun Zhang; Hongxia Zhao
W2150550043,"Genome analysis of multiple pathogenic isolates of Streptococcus agalactiae : Implications for the microbial ""pan-genome""",3.8303912,3.3028672,2005,2600,https://doi.org/10.1073/pnas.0506758102,パンゲノムの概念（Streptococcus agalactiae）,Proceedings of the National Academy of Sciences,Herv_ Tettelin; Vega Masignani; Michael J. Cieslewicz; Claudio Donati; Duccio Medini; Naomi Ward; Samuel V. Angiuoli; Jonathan Crabtree; Amanda L. Jones; A. Scott Durkin; Robert T. DeBoy; Tanja M. Davidsen; Marirosa Mora; Maria Scarselli; Immaculada Margarit Y Ros; Jeremy Peterson; Christopher R. Hauser; Jaideep P. Sundaram; William Nelson; Ramana Madupu; Lauren Brinkac; Robert J. Dodson; M. J. Rosovitz; Steven A. Sullivan; Sean C. Daugherty; Daniel H. Haft; Jeremy Selengut; Michelle Gwinn; Li‐Wei Zhou; Nikhat Zafar; Hoda Khouri; Diana Radune; George Dimitrov; Kisha Watkins; Kevin J. B. O'Connor; Shannon D. Smith; Teresa R. Utterback; Owen White; Craig E. Rubens; Guido Grandi; Lawrence C. Madoff; Dennis L. Kasper; John L. Telford; Michael R. Wessels; Rino Rappuoli; Claire M. Fraser
W2041652393,The Minimal Gene Complement of Mycoplasma genitalium,4.111428,2.7292244,1995,2517,https://doi.org/10.1126/science.270.5235.397,Mycoplasma genitaliumのゲノム(最小ゲノムのモデル、細菌ゲノムとして2番目),Science,Claire M. Fraser; Jeannine D. Gocayne; Owen White; Mark D. Adams; Rebecca A. Clayton; Robert Fleischmann; Carol J. Bult; Anthony R. Kerlavage; Granger Sutton; Jenny M. Kelley; Janice L. Fritchman; Janice F. Weidman; Keith V. Small; Mina Sandusky; Joyce L. Fuhrmann; David N. Nguyen; Teresa R. Utterback; Deborah M. Saudek; Cheryl A. Phillips; Joseph M. Merrick; Jean-Fran_ois Tomb; Brian Dougherty; Kenneth F. Bott; Ping-Chuan Hu; T S Lucier; Scott N. Peterson; Hamilton O. Smith; Clyde A. Hutchison; J. Craig Venter
W2127303481,Uniting the classification of cultured and uncultured bacteria and archaea using 16S rRNA gene sequences,4.3103704,8.867083,2014,2500,https://doi.org/10.1038/nrmicro3330,原核生物の分類における、16S rRNA相同性の閾値の提案,Nature Reviews Microbiology,Pablo Yarza; Pelin Yilmaz; Elmar Pruesse; Frank Oliver Gl_ckner; Wolfgang Ludwig; Karl‐Heinz Schleifer; William B. Whitman; J. Euz_by; Rudolf Amann; Ramon Rossell_‐M_ra
W2745006471,Minimum information about a single amplified genome (MISAG) and a metagenome-assembled genome (MIMAG) of bacteria and archaea,7.890416,10.508157,2017,2450,https://doi.org/10.1038/nbt.3893,MAGやSAGの品質の標準的な評価指標の提案(MISAG/MIMAG),Nature Biotechnology,Robert M. Bowers; Nikos C. Kyrpides; Ram_nas Stepanauskas; Miranda Harmon‐Smith; Devin F. R. Doud; T. B. K. Reddy; Frederik Schulz; Jessica K. Jarett; Adam R. Rivers; Emiley A. Eloe‐Fadrosh; Susannah G. Tringe; Natalia Ivanova; Alex Copeland; Alicia Clum; Eric D. Becraft; Rex R. Malmstrom; Bruce W. Birren; Mircea Podar; Peer Bork; George M. Weinstock; George M Garrity; Jeremy A. Dodsworth; Shibu Yooseph; Granger Sutton; Frank Oliver Gl_ckner; Jack A. Gilbert; William Nelson; Steven Hallam; Sean P. Jungbluth; Thijs J. G. Ettema; Scott Tighe; Konstantinos T. Konstantinidis; Wen‐Tso Liu; Brett J. Baker; Thomas Rattei; Jonathan A. Eisen; Brian P. Hedlund; Katherine D. McMahon; Noah Fierer; Rob Knight; ROBERT FINN; Guy Cochrane; Ilene Karsch‐Mizrachi; Gene W. Tyson; Christian Rinke; Alla Lapidus; Folker Meyer; Pelin Yilmaz; Donovan H. Parks; A. Murat Eren; Lynn M. Schriml; Jillian F. Banfield; Philip Hugenholtz; Tanja Woyke
W2142735254,Impact of Culture-Independent Studies on the Emerging Phylogenetic View of Bacterial Diversity,5.202254,6.340338,1998,2409,https://doi.org/10.1128/JB.180.18.4765-4774.1998,1%も培養できていないという指摘,Journal of Bacteriology,Philip Hugenholtz; Brett M. Goebel; Norman R. Pace
