paper_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22
W2036815970,0.0337046,0.0877852,0.0009566,0.0017414,0.2682543,0.000825,0.0005778,0.0007795,0.2813806,0.0012625,0.0440484,0.0010793,0.0004964,0.0288832,0.0006205,0.000536,0.0671334,0.0008459,0.0005774,0.135994,0.0003745,0.000804,0.0413395
W2100278941,0.0017547,0.0008951,0.0009182,0.001671,0.1557416,0.0007919,0.0005546,0.0007483,0.0007491,0.2229417,0.3840449,0.0010362,0.0004766,0.0006007,0.0005957,0.0005145,0.0550821,0.1129717,0.0005543,0.0003834,0.0221821,0.0007718,0.0340198
W2128114769,0.0336357,0.0349959,0.0011159,0.7222253,0.0010816,0.0009623,0.000674,0.0009093,0.0009103,0.073062,0.0235593,0.001259,0.0005791,0.00073,0.0007239,0.0006253,0.001047,0.0009868,0.0006735,0.0004659,0.0004369,0.0988977,0.0004431
W2038763999,0.0021693,0.0011141,0.1831013,0.0020739,0.001108,0.0009858,0.0006904,0.0009315,0.0009325,0.0341519,0.0545462,0.0012895,0.0005932,0.0291024,0.0007415,0.0006405,0.2934208,0.0253526,0.0006899,0.0004773,0.0004475,0.3649861,0.0004539
W2102424972,0.0031809,0.0016045,0.0016459,0.4131207,0.0015955,0.0014195,0.0009942,0.3541668,0.0013428,0.0021713,0.0778576,0.0018571,0.0008543,0.0010768,0.0010678,0.0437439,0.0015444,0.0014557,0.0009935,0.0006873,0.0006444,0.0863216,0.0006536
W2072812562,0.0016843,0.0008534,0.0008754,0.2938542,0.0008486,0.0314439,0.0005288,0.0509245,0.0007142,0.0696566,0.000597,0.0009877,0.0004543,0.0005727,0.0005679,0.0004905,0.0008215,0.4105277,0.0005284,0.0003655,0.0003427,0.1320125,0.0003476
W1986098362,0.0033309,0.0016927,0.0017366,0.0031533,0.1724608,0.0014978,0.001049,0.0014153,0.0769053,0.0022901,0.2195006,0.0019596,0.0009013,0.0011362,0.0011266,0.0009732,0.0016296,0.0015359,0.0010483,0.4765898,0.0006799,0.0014597,0.0259276
W2108058966,0.0192503,0.096184,0.0010541,0.379888,0.0010218,0.0009091,0.0006367,0.000859,0.0184736,0.3709264,0.0007188,0.0011892,0.1022103,0.0006896,0.0006838,0.0005907,0.0009891,0.0009322,0.0006363,0.0004401,0.0004127,0.000886,0.0004186
W2106391842,0.0015659,0.3406617,0.0008218,0.0832864,0.1477698,0.0007087,0.0378242,0.2994444,0.0006704,0.0010847,0.0005604,0.0009273,0.0004265,0.0005376,0.0005331,0.0004605,0.0798121,0.0007268,0.000496,0.0003431,0.0003217,0.0006907,0.0003263
W1975993749,0.0009118,0.0721826,0.0004752,0.0008714,0.0004607,0.0703578,0.000287,0.0003873,0.0003877,0.2771997,0.0003241,0.0005362,0.1510981,0.0003109,0.0003083,0.024108,0.3473412,0.0239746,0.0002869,0.0001984,0.0001861,0.0003994,0.0274068
